poly_id,n,rmse_base,rmse_seas,mae_base,mae_seas,slope,intercept,pearson_r,r2_in,delta_rmse
P027,125,0.14063220235126855,0.13661722970066228,0.10388123629833747,0.10107101006001637,0.7988242649104726,-0.12426814847612665,0.708787137054668,0.5023792056541518,0.004014972650606269
P028,128,0.17086197802832861,0.14012786196831478,0.14201336613191912,0.1107688513809143,0.9295080935322486,-0.07532627577560848,0.7096717458835756,0.5036339869054429,0.030734116060013833
P029,127,0.16671682914913769,0.18758068719558643,0.13402188978451585,0.14410244854041487,0.7615681583208264,-0.01353808941436787,0.7083188490411798,0.5017155919070216,-0.020863858046448747
P030,130,0.17621534422446442,0.2109556768520156,0.1333445827152347,0.15402590674063799,0.9728372048649641,-0.19566015473529527,0.7438392744565628,0.553296866224066,-0.03474033262755119
P031,125,0.14831374281271617,0.14845065513315814,0.11304526804178713,0.11020154907069984,0.2489174756945941,0.3986060948913524,0.15058779600880345,0.022676684306789485,-0.00013691232044196755
P032,123,0.22042819570248204,0.21392806559418864,0.17062262133884729,0.1580239607864501,0.2199031024489515,0.2582363428237735,0.14603065566066978,0.02132495239268517,0.006500130108293395
P033,123,0.23060935410544628,0.25083319107013347,0.16747636292322032,0.18883180308261796,-0.22944942493771286,0.39216906831982856,-0.11616692584603733,0.013494754660518749,-0.020223836964687186
P034,119,0.26064447202664554,0.27635992597969783,0.20078893965641947,0.20221137309282539,0.19515035212055878,0.2777838636672933,0.11076445164275601,0.012268763747720679,-0.015715453953052294
P035,132,0.09639251911040293,0.0953047711896623,0.0629899229693013,0.06211609604331872,-0.0931938340402593,0.381582991414344,-0.058390256638846005,0.00340942207035011,0.0010877479207406365
P036,133,0.20542230610660964,0.2523007170857458,0.17075128744498164,0.20958359276799784,0.8155379813040877,-0.04279995625301387,0.6788739047958151,0.46086977861271683,-0.04687841097913617
P037,135,0.20674435879562839,0.21036602275846086,0.17228272239807632,0.17245613308479482,0.6297287382702482,0.1562665431218371,0.48153577141881104,0.23187669915590936,-0.0036216639628324776
P038,123,0.14905812057133222,0.15952397865986123,0.12217620467049636,0.12249064745958234,0.7501690018491397,-0.0655355767493105,0.6896501036994426,0.47561726553265193,-0.010465858088529012
P039,125,0.12194332404925697,0.11626081463962785,0.09331470196416991,0.08483359522152839,0.8869614275029449,-0.12964356983841802,0.4871306197106637,0.2372962406596949,0.005682509409629111
P040,129,0.13064098034729807,0.1570010744456324,0.09919986982962317,0.1255041183763113,0.875162268108916,-0.13394213420698123,0.7708106977572347,0.5941491317769947,-0.02636009409833434
P041,129,0.18406889046282182,0.22043789246960072,0.15496143072707694,0.18696090999991602,1.0172016058284694,-0.07658483637028995,0.7303237290184207,0.5333727491673723,-0.036369002006778894
P042,132,0.20506627203173713,0.2709028959102616,0.1796993931513642,0.22727999287686346,1.1918433001275288,-0.1516508627049068,0.7043245983914849,0.49607313989932666,-0.06583662387852449
P043,126,0.24946793912670476,0.2706566155875942,0.2003481540221109,0.21343323657875748,0.390728640926571,0.17241657321173887,0.3101650225638427,0.09620234122202898,-0.021188676460889427
P044,121,0.14740605106010182,0.1520194574947684,0.12016891430063235,0.11748961569747361,0.28091257705752365,0.36059935089979306,0.24804976621359026,0.06152868651861687,-0.004613406434666567
P045,121,0.15361364108488032,0.16085862153716807,0.12133459265622494,0.13138355077433714,0.7914314842778952,-0.0949116215262883,0.7447803215564095,0.5546977273776683,-0.007244980452287747
P046,126,0.13353682093647756,0.14671953221478753,0.10054972460650559,0.11187702321692478,0.7342247921463763,-0.015748456409432662,0.3615446151929466,0.13071450877501567,-0.013182711278309972
P047,129,0.2563910280657834,0.24079788323084245,0.20805408679581855,0.17666524160836894,0.0817845552436498,0.32774154296338065,0.051773630892486724,0.002680508855791519,0.015593144834940953
P048,128,0.28744183212050606,0.20569139011481066,0.25460225569302397,0.14605628143041904,0.14018377474988217,0.34747812906472125,0.07708388772831815,0.005941925747312005,0.0817504420056954
P049,128,0.2342122549365195,0.28471884682473697,0.18294760799185866,0.18733632458124996,0.6740252740758979,-0.03187025750170432,0.49030512703313395,0.24039911759497756,-0.05050659188821746
P050,125,0.25861877229102426,0.29863386275066395,0.2125895278442616,0.2190292293064161,0.29956127333469784,0.21110549353541908,0.20920472902727044,0.043766618647373634,-0.04001509045963969
P051,130,0.18441920521722255,0.20207142219884094,0.1392841303744156,0.15280749152106005,0.9907726017628615,-0.13557296927557652,0.7439117410086058,0.5534046784104552,-0.017652216981618396
P052,135,0.16065257606865785,0.20390339643378902,0.11917076798655205,0.14559309738131032,1.1918181800618464,-0.2580027985958803,0.8028864442009318,0.644626642281616,-0.04325082036513117
P053,120,0.18613362552123888,0.18659098299397464,0.1527280274210245,0.15152274254843945,0.8846053800587037,-0.12832686181098252,0.7519247176868784,0.5653907810684922,-0.0004573574727357588
P054,124,0.21301726876018112,0.23277372829757215,0.16649025518019708,0.17664097279262125,1.1362538686430452,-0.25337555953512125,0.7278401322346159,0.5297512580913031,-0.019756459537391025
P055,125,0.18085309296249386,0.2146406418325065,0.14656837053654606,0.15479902682151325,0.9343708980651064,-0.09371694041776323,0.7360417378256243,0.5417574398213636,-0.033787548870012646
P056,123,0.25269543564786584,0.2659797428605278,0.21071415836960555,0.21407507356990294,0.761982227536612,0.059022958869241325,0.536383436260472,0.28770719069459183,-0.013284307212661939
P057,126,0.2688418758191116,0.2912975855651235,0.2032054440496004,0.21206339810664304,0.14766841703994488,0.262445119040744,0.10274680149346012,0.01055690521713648,-0.022455709746011854
P058,129,0.19728616067147056,0.2369717610059515,0.1452757064327479,0.1694301664346447,0.7708758081783119,-0.10721690916064568,0.6906824262039936,0.47704221386703527,-0.03968560033448093
P059,119,0.1756984682098494,0.16446304853254315,0.13883570132611542,0.12968858122929486,0.9817278924953082,-0.1546939117945856,0.7795358321472289,0.6076761136014729,0.011235419677306263
P060,124,0.1484713029822002,0.1708862165920091,0.11005439822235887,0.13076188414744103,1.1500798024797236,-0.2518546669820942,0.8446514232083447,0.713436026727883,-0.02241491360980888
P061,124,0.2688206702026551,0.23663966800191388,0.21968849648887329,0.17985317969471198,0.5774380820619871,0.09054314423514943,0.3604027744504032,0.1298901598315484,0.032181002200741216
P062,119,0.21927878190718067,0.22308712681233192,0.158176347830039,0.15913591944589545,0.7754696929429112,-0.023025027545522197,0.44184924157223165,0.19523075227795628,-0.003808344905151251
P063,129,0.14631597692197576,0.1651378450387088,0.12100529189117078,0.13284690047783207,0.8436480488829982,-0.08409910265665788,0.7034592033980512,0.494854850845421,-0.01882186811673303
P064,129,0.15174917716790395,0.1595932463444166,0.11377466489093034,0.11757039526788671,1.1377575693537016,-0.17347267186686813,0.8297261163782139,0.6884454282000736,-0.007844069176512647
P065,133,0.21083036888997866,0.21490069992627042,0.17221502713055015,0.1743608021177399,0.6174223486965473,0.2372958950000301,0.47088274955801657,0.22173056383131795,-0.004070331036291758
P066,128,0.12488558525778043,0.14505429810252432,0.100771020939245,0.11997266604179777,0.9144157255108291,-0.13136314205478572,0.7950506914686721,0.6321056020048145,-0.02016871284474389
P067,131,0.16767197567347575,0.17736329318264715,0.11810573657417586,0.11924039946939041,0.997370587831507,-0.14779624987619425,0.7928689847026864,0.6286412269034687,-0.009691317509171404
P068,132,0.19073362340967415,0.23070950758127756,0.14431703467261667,0.18117420448665472,0.8445713914149294,-0.1295671485934385,0.7154357076685938,0.5118482518072613,-0.039975884171603415
P069,127,0.15080259472996393,0.15467277781621186,0.1215063866124597,0.12083672898860617,1.2788359462879075,-0.36314708500711873,0.8301108993270944,0.689084105181637,-0.0038701830862479247
P070,124,0.16118319686379537,0.19156687920942722,0.1311935926605381,0.14620434398487378,0.8926217349274214,-0.1690866923702511,0.738624236598474,0.5455657628906783,-0.03038368234563185
P071,128,0.2279730552511154,0.271686284333225,0.1873047671166784,0.2228877832453141,0.4667405144114249,0.12280634826962321,0.4428202482142563,0.19608977222853585,-0.04371322908210962
P072,130,0.20598017868144589,0.22401651325034486,0.16905833034520343,0.17468838372960965,0.8050739975678946,-0.025690799699713225,0.5891808392121308,0.3471340612947109,-0.01803633456889897
P073,133,0.18066977267340634,0.2380339742742167,0.1454779090337773,0.17695889560849257,0.9733301869562889,-0.1025193389516351,0.7034316794214964,0.49481612761374705,-0.05736420160081035
