poly_id,s2_date,ndvi_finale,sorgente,distanza_giorni,ndvi_osservato
P115,2023-08-16,0.5581,osservato,0,0.5581
P115,2023-08-21,0.4492,osservato,0,0.4492
P115,2023-08-26,0.3271,osservato,0,0.3271
P115,2023-08-31,0.2968,osservato,0,0.2968
P115,2023-09-05,0.2166,osservato,0,0.2166
P115,2023-09-10,0.2281,osservato,0,0.2281
P115,2023-09-15,0.2102,interpolato,5,
P115,2023-09-20,0.1923,interpolato,5,
P115,2023-09-25,0.1744,osservato,0,0.1744
P115,2023-09-30,0.2401,osservato,0,0.2401
P115,2023-10-05,0.11850000000000001,interpolato,5,
P115,2023-10-10,-0.0031,osservato,0,-0.0031
P115,2023-10-15,0.0399,interpolato,5,
P115,2023-10-20,0.08289999999999999,interpolato,10,
P115,2023-10-25,0.1259,interpolato,10,
P115,2023-10-30,0.1689,interpolato,5,
P115,2023-11-04,0.2119,osservato,0,0.2119
P115,2023-11-09,0.18743333333333334,interpolato,5,
P115,2023-11-14,0.16296666666666668,interpolato,5,
P115,2023-11-19,0.1385,osservato,0,0.1385
P115,2023-11-24,0.147,osservato,0,0.147
P115,2023-11-29,0.1454,osservato,0,0.1454
P115,2023-12-09,0.0801,osservato,0,0.0801
P115,2023-12-14,0.1193,interpolato,5,
P115,2023-12-19,0.1585,osservato,0,0.1585
P115,2023-12-24,0.1437,osservato,0,0.1437
P115,2023-12-29,0.1515,interpolato,5,
P115,2024-01-03,0.1593,interpolato,10,
P115,2024-01-08,0.1671,interpolato,5,
P115,2024-01-13,0.1749,osservato,0,0.1749
P115,2024-01-18,0.1201,osservato,0,0.1201
P115,2024-01-23,0.2042,osservato,0,0.2042
P115,2024-01-28,0.20029999999999998,interpolato,5,
P115,2024-02-02,0.1964,osservato,0,0.1964
P115,2024-02-07,0.2302,interpolato,5,
P115,2024-02-12,0.264,interpolato,10,
P115,2024-02-17,0.2978,interpolato,15,
P115,2024-02-22,0.3316,interpolato,10,
P115,2024-02-27,0.3654,interpolato,5,
P115,2024-03-03,0.3992,osservato,0,0.3992
P115,2024-03-08,0.38265,interpolato,5,
P115,2024-03-13,0.3661,osservato,0,0.3661
P115,2024-03-18,0.5016,interpolato,5,
P115,2024-03-23,0.6371,osservato,0,0.6371
P115,2024-03-28,0.71855,interpolato,5,
P115,2024-04-02,0.8,osservato,0,0.8
P115,2024-04-07,0.7468,osservato,0,0.7468
P115,2024-04-12,0.7954,osservato,0,0.7954
P115,2024-04-17,0.7959833333333334,interpolato,5,
P115,2024-04-22,0.7965666666666666,interpolato,10,
P115,2024-04-27,0.79715,interpolato,15,
P115,2024-05-02,0.7977333333333334,interpolato,10,
P115,2024-05-07,0.7983166666666667,interpolato,5,
P115,2024-05-12,0.7989,osservato,0,0.7989
P115,2024-05-17,0.6976,osservato,0,0.6976
P115,2024-05-22,0.6436,osservato,0,0.6436
P115,2024-05-27,0.424,osservato,0,0.424
P115,2024-06-01,0.3742,osservato,0,0.3742
P115,2024-06-06,0.3215,osservato,0,0.3215
P115,2024-06-11,0.29215,interpolato,5,
P115,2024-06-16,0.2628,osservato,0,0.2628
